meli618,Montreal,Montreal, female , 25-34 ,"['montreal', ' quebec', 'athens', 'louisbourg', ' nova scotia', 'arlington', ' va', 'asprovalta', 'atlantic city', ' nj', 'bogota', 'boston', ' ma', 'brooklyn', ' ny', 'cambridge', ' ma', 'cambridge', ' ontario', 'cape breton island', ' nova scotia']","[' canada', ' greece', ' usa', ' colombia']",[],"Maison Ishi, Montreal",,,5 of 5 stars,"Amazing massages! I have been here twice and can't wait to go back. The staff are very warm and welcoming, and quickly get you settled into the salon upstairs and offer you a drink and a snack. The massage always comes with a little ""extra"" treatment that you can choose from, and all of them are spectacular. The massage therapists are very professional, approachable and they listen to exactly what you need. I will definitely be going back soon!"
31779,Henrietta,New York,,,"['montreal', ' quebec', 'grand canyon national park', ' az', 'boulder city', ' nv', 'henderson', ' nv', 'castile', ' ny', 'clarence', ' ny', 'henrietta', ' ny', 'rochester', ' ny', 'skaneateles', ' ny', 'st. george', ' ut', 'williams', ' az']","[' canada', ' usa']",[],"Marche Jean-Talon, Montreal",,,5 of 5 stars,"
We were impressed with the quality of the produce, and the beauty of the displays. The samples of fruits and vegetables were welcoming, we loved the carrots in a variety of colors and bought some to snack on. The gelato and croissants we purchased to eat were delicious! One of the highlights of our trip.
"
SeattleLifejazz,Seattle,Seattle,,,"['quebec city', ' quebec', 'montreal', ' quebec', 'seattle', ' wa', 'tacoma', ' wa', 'newport', ' or', 'pacific grove', ' ca', 'austin', ' tx', 'bainbridge island', ' wa', 'dundee', ' or', 'friday harbor', ' wa', 'mcminnville', ' or', 'monterey', ' ca']","[' canada', ' usa']",[],"Marche Jean-Talon, Montreal",,,5 of 5 stars,"We wandered through the immense market enjoying the fresh fruits and vegetables, fish, poultry, game and beef. We're staying in a condo with a kitchen, so lucky for us, we could gather everything we needed for a fine dinner. But even if you don't plan on buying, the market is a thing to behold. We didn't eat there, but the aroma from the various food vendors told a tale of some good eats."
FYL003,Chicago,Illinois,,,"['queenstown', 'panama city', 'montreal', ' quebec', 'auckland', 'buenos aires', 'casablanca', 'shanghai', 'madrid', 'marrakech', 'melbourne', 'nottingham', 'sydney']","[' new zealand', ' panama', ' canada', ' argentina', ' morocco', ' china', ' spain', ' australia', ' uk']",[],"Marche Jean-Talon, Montreal",,,5 of 5 stars,"
One of the best markets that offer farm fresh produce directly from the growers. Lots of prepared foods to try. Good bakeries and cheese shops. The location is a short walk from the Jean Talon metro stop.
"
RamenGurl,,,,,"['london', ' ontario', 'montreal', ' quebec', 'vaudreuil-dorion', ' quebec', 'toronto', ' ontario', 'vaughan', ' ontario', 'laval', ' quebec', 'niagara falls', ' ontario', 'auburn hills', ' mi', 'vaudreuil', ' quebec']","[' canada', ' usa']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,"My family decided to take a vacation in Montreal this summer and during our stay we decided to check out Old Montreal. We parked at Complexe Desjardins and walked a couple blocks to the cobble stone streets of the Basilica, it was very convinent and cost us around $20. The innards of the Complexe are a bunch of different shops, cafes, and restaurants/fast foods. If you need to get a bite to eat fast and for a good price while in Old Montreal make a stop here!"
OnetripMan,Winnipeg,Canada,,,"['montreal', ' quebec', 'vancouver', ' british columbia']",[' canada'],[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"
My aunt took me for a short cut here but it was closing time. Lots of shops and under ground without having to resort to buses or the metro.
"
Solange22600,Auray,France, female , 25-34 ,"['paris', 'montreal', ' quebec', 'lieusaint', 'erdeven', 'servon', 'brie-comte-robert', 'lorient', 'provins', 'soisy-sur-seine', 'le quillio', 'santeny', 'vannes']","[' france', ' canada']",[],"Noel Eternel, Montreal","
",,5 of 5 stars,"J'adore ce lieu! Quoi de plus ""dpaysant"" que de venir visiter ce magasin en plein t par exemple. Pour les amoureux de Nol et des ftes de fin d'anne, je vous conseille vivement d'y faire un tour. C'est magique! Pour information, ""Nol ternel"" se situe prs de la Basilique ""Notre Dame de Montral""."
butterfly_happy,Zurich,Zurich, female , 35-49 ,"['ocean city', ' md', 'london', 'montreal', ' quebec', 'brentwood', 'eguisheim', 'hershey', ' pa', 'leavesden', 'baltimore', ' md', 'longboat key', ' fl', 'rust', 'hagerstown', ' md', 'scranton', ' pa']","[' usa', ' uk', ' canada', ' france', ' germany']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,3 of 5 stars,"
Was convenient to browse when it rained. Middle-aged womens fashion stores, a homegoods store, a few bakeries, a few book stores, a good selection of restaurant counters, similar to an airport. Connected to Hyatt and across from Place des Arts center
"
alittlegnat,Los Angeles,California, female , 25-34 ,"['montreal', ' quebec', 'austin', ' tx', 'toronto', ' ontario', 'niagara falls', ' ny', 'san francisco', ' ca', 'las vegas', ' nv', 'los angeles', ' ca', 'pemuteran', 'bali', 'ubud', 'monterey', ' ca']","[' canada', ' usa', 'gianyar', ' indonesia']","[u'I like to travel for: sight seeing and architectures, music festivals, nature/hikes and other outdoor activities. ']","Noel Eternel, Montreal","
",,5 of 5 stars,"I absolutely love this place ! I like year-around Christmas stores because I like seeing the entire store intricately decorated in Christmas.

When we walked in here, it was just a casual thing - by passing. But this place made us decide that we wanted to do a little tradition by getting an ornament from every city we were to visit.

Though a little bit small, there were amazing things all around - and maybe it's good that it's small otherwise it might have been overwhelming.

Even though I got my ornament from Montreal, I will be going back to get more and more."
dptoursusa,LILLE,MAINE, male , 50-64 ,"['montreal', ' quebec', 'bangor', ' me', 'south portland', ' me', 'salem', ' nh', 'quebec city', ' quebec', 'portland', ' me', 'sainte anne de beaupre', ' quebec', 'freeport', ' me', 'saco', ' me', 'trois-rivieres', ' quebec', 'waterville', ' me', 'biddeford', ' me']","[' canada', ' usa']","[u'I am single and love to travel and do so as often as I can. I am more accepting of some accommodations that others may not find live up to their stanndards. I want to experience what locals do in their daily lives so I do not go on vacation with an expectation that a particular place must meet my American lifestyle. I have traveled to Canada, Mexico, Trinidad and Tobago, Ireland, Wales, Scotland, England, France, Switzerland, Luxemburg, Germany, and Italy. I have taken organized tours as well as I have gone on my own. I have also organized many tours to Canada and the Eastern part of the United States. I feel I have a pretty good grasp about hotel properties and what certain areas have to offer a traveler on a fixed budget. ']","Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,Hundreds of stores over several city blocks. The intricate maze of stores is several floors underground while other floors are above ground. The entrance has this beautiful water display that rises 2-3 floors in height is lit in varied colors. You will find stores here for every need and budgets. An IGA supermarket is part of the complex. The food court offers dozens of different venders of every imaginable palate at quite affordable prices. I enjoyed a delicious chicken pita sandwich at La Cuisine Lebonaise that was chock full of meat and vegetables for less than $6.
OURS2,"BEAR ,DE","BEAR ,DE", male , 50-64 ,"['montreal', ' quebec', 'valley forge', ' pa']","[' canada', 'new brunswick', ' usa']",[],"Canadian Guild of Crafts, Montreal",,,5 of 5 stars,"
This is one of my favored places in Montreal and love to visit to see new Art and Craft by some of Canada's great Artiest.
"
michaelr630,Amherst,United States, male , 50-64 ,"['milford', ' nh', 'amherst', ' nh', 'montreal', ' quebec', 'manchester', ' nh', 'nashua', ' nh', 'bedford', ' nh', 'new york city', ' ny', 'salem', ' nh', 'dublin', 'wilton', ' nh', 'hooksett', ' nh', 'baltimore', ' md']","[' usa', ' canada', ' ireland']","[u'Growing up my family traveled a lot, weekend trips by train, long car trips with camping throughout the USA/Mexico/Canada, and especially the Caribbean and Florida Keys, canoe exploration of the Canadian wilderness, train travel through northern Europe, and current experience in Ireland and Bavaria. Three years as an apprentice to become a Fine Dining Chef, Owner/Operator of a Resort with a Restaurant in the Ely Minnesota area, one of only two restaurants in Minnesota that was recommended in the AAA travel guide for Minnesota as having ""exceptional"" food. When I travel I have no specific agenda, other than to experience the locations. I appreciate fine food and customer service. I dislike pretentious presentations. I really enjoy food that is honest, i.e. has great flavor married with the ingredients. I use the taste of the coffee as an indicator of the owner\'s understanding of the food experience. ']","Complexe Desjardins, Montreal"," Shopping centres
",,3 of 5 stars,"
We stay at the Hyatt for the Jazz festival, the Hyatt is in one corner of the complex. Lots of places to shop, some in which you might find something to purchase. The IGA grocery store is in the north east corner, lots of variety there.
"
Lucie0204,Montreal,Canada, female , 50-64 ,"['montreal', ' quebec', 'saint-lambert', ' quebec', 'mont tremblant', ' quebec', 'bolton-est', ' quebec', 'bromont', ' quebec', 'toronto', ' ontario']",[' canada'],[],"Canadian Guild of Crafts, Montreal",,,5 of 5 stars,"
It was my first visit to the gallery. I wanted to see Jeweller Claudio Pinos ring collection. Apotheosis of craftmanship. I also enjoyed the inuit art, very different from what I usually see or expected. Beautiful collection. A must see!
"
montrealandre,montreal,montreal, male , 35-49 ,"['montreal', ' quebec', 'paris', 'las vegas', ' nv', 'los angeles', ' ca', 'key west', ' fl', 'amsterdam', 'barcelona', 'venice', 'london', 'negril', 'new orleans', ' la', 'orlando', ' fl']","[' canada', ' france', ' usa', ' the netherlands', ' spain', ' italy', ' uk', ' jamaica']","[u""Advice to young or first-time travellers:\nI have travelled extensively all over the world, sometimes in 5 star hotels, other times at B&B's with friendly bohemian hosts.\nI can't say either is better. It depends on the circumstances. When there was not a room available in August in the Greek Isles. I have miraculously found a room by humbly asking locals for help.I am convinced that 99% of people are good, some a bit greedy, or harried but most people are OK. If you're girls, always travel in pair and watch out for each other. Don't overbook everything. Leave some room for surprise and spontaneity. If you let go of fear, you'll have the time of your life. Be careful , not fearful. Also stop worrying needlessly. Sometimes, visit museums alone so that you'll have time to linger and go at your own pace. Learn a few words in local language. You'll make some friends and get extra good service. Also smile and give positive feedback when you can. ""]","Marche Jean-Talon, Montreal",,,5 of 5 stars,"I hadn t been to Jean Talon in a while and took the bus up St Laurent street, got off on Jean Talon Street and walked the half block to this great market. For many years, I was a regular there, buying fresh fruits and veggies, straight off the farm. This part of the market, the nearby bakery (premiere Moisson) are still there. What is different now, is a completely new eastern strip running along Henri Julien Street that has 2nd generation products, like Imperial Egg Rolls, Seafood, Teas of the world, German Berliners, Moroccan baklavah type desserts, Mushrooms polish sausages, honey, fruit juices, nuts galore, Brittany style crepes. If you hit a rainy day, are hungry, go there , have 10 or 20 bucks io spend, go there and sample from such a great diversity of stuff. If you need inexpensive sundry items like a hair blower,furniture, shoes, walk on down St Hubert street and find inexpensive wigs, dollar stores, luggage in this covered sidewalk mall., Forgot to mention; lots of free samples of fruits at Jean Talon Market."
poocherTampa,Tampa,Tampa, male , 50-64 ,"['amsterdam', 'charlotte', ' vt', 'bruges', 'columbia falls', ' mt', 'franconia', ' nh', 'honolulu', ' hi', 'montreal', ' quebec', 'oak park', ' il', 'rome', 'stowe', ' vt']","[' the netherlands', ' usa', ' belgium', ' canada', ' italy']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,"We loved watching the fountain this summer. It was in testing mode during July with new features being added weekly. It was scheduled to have a grand opening in Oct of 2012, with all functions fully employed and a repeat cycle of one day. BUT, I haven't seen anything on youtube or any other reports and review dated October or later. Anyone know what's up?"
salleseguin,Saskatoon,Canada, female , 50-64 ,"['saskatoon', ' saskatchewan', 'kingston', ' ontario', 'dallas', ' tx', 'montreal', ' quebec', 'columbus', ' oh', 'udine', 'albuquerque', ' nm', 'amman', 'amsterdam', 'atlanta', ' ga', 'austin', ' tx', 'banff', ' alberta']","[' canada', ' usa', ' italy', ' jordan', ' the netherlands']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"
Has a great food court and coffee. It was close to my hotel the Hyatt was where my conference was. I like that there was and IGA in the complex, that makes staying away from home much nicer when you can get food that you really like and a lower cost.
"
MelMuff,Ingleside,Canada, female , 25-34 ,"['miami beach', ' fl', 'miami', ' fl', 'vancouver', ' british columbia', 'montreal', ' quebec', 'ottawa', ' ontario', 'cornwall', ' ontario', 'morrisburg', ' ontario', 'north vancouver', ' british columbia', 'brockville', ' ontario', 'burnaby', ' british columbia', 'kingston', ' ontario', 'lancaster', ' ontario']","[' usa', ' canada']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"
A very good building. Lots of shops and access to the underground shopping district. It also includes a Baton Rouge and St. Hubert's restaurants.
"
Anonymous130,Montreal,Canada,,,"['montreal', ' quebec', 'amsterdam', 'barcelona', 'berlin', 'bogota', 'buenos aires', 'canaima national park', 'caracas', 'catia la mar', 'ciudad bolivar', 'ciudad guayana', 'cumana']","[' canada', ' the netherlands', ' venezuela', ' germany', ' colombia', ' argentina']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,1 of 5 stars,"My laptop has been stolen twice in this food court. The first time it was kind of my fault, because I left my bag unattended. But the second time I had my backpack behind me on my table and they picked it up from behind without me noticing while I was chatting with my friends. They took the time to open it and close it, and I only noticed it when I was leaving. They are very professional and they look like regular adults. Also they are often not alone. This happend, today (March 19, 2012). Both times I complained to security guards and they were very dismissive. The first time I had to beg them to check the security video, and the second time they told me they would check and maybe call me if they knew who the thief was :S I believe this was joint work with the security guards, since no cameras were able to see my seat in both cases. How come thieves know that? Think about this and be very aware next time you go to Complex desjardins food court, especially during rush hour!"
Med_loverCanada,Kitchener,Canada, female , 65+ ,"['athens', 'tulum', 'parikia', 'montreal', ' quebec', 'akumal', 'glyfada', 'imerovigli', 'kitchener', ' ontario', 'new york city', ' ny', 'piraeus', 'rose hall', 'santorini']","[' greece', ' mexico', ' canada', ' usa', ' jamaica']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"
Large mall with usual trappings and underground links to useful places. Tikka Indian restaurant in food court serves better than average food court fare.
"
djangobibby,Toronto,Canada, female , 35-49 ,"['new york city', ' ny', 'buffalo', ' ny', 'montreal', ' quebec', 'brooklyn', ' ny', 'calgary', ' alberta', 'exshaw', ' alberta', 'lake louise', ' alberta', 'las vegas', ' nv', 'ottawa', ' ontario', 'seattle', ' wa', 'toronto', ' ontario', 'belfast']","[' usa', ' canada', ' uk']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,"If you are at all interested in the architecture of the 1970's, do check out the inside shopping area of Complexe Desjardins, which is situated between boulevard Rene Levesque and rue Sainte Catherine . It is amazing for its huge, high reaching central plaza, around which are shops, offices and the Hyatt. It is a truly excellent example of mid-70's public space architecture."
dominiquepierrat,Gerardmer,France,,,"['quebec city', ' quebec', 'montreal', ' quebec', 'gerardmer', 'paris', 'budapest', 'wendake', ' quebec', 'bratislava', 'ko mak', 'krakow', 'niagara falls', ' ontario', 'albstadt', 'banff', ' alberta']","[' canada', ' france', ' hungary', ' slovakia', ' thailand', ' poland', ' germany']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,un petit complexe charmant avec boutique et au sous sol pas mal de petit restaurant qui se touche .style rapide mais bon pour coup une faim a tout heure de la journe.. wifi gratuit a l intrieur..
Gabriel_Sperandio,Rio de Janeiro,Brazil,Male ,,"['rio de janeiro', 'sao paulo', 'buenos aires', 'curitiba', 'paris', 'montreal', ' quebec', 'lisbon', 'belo horizonte', 'rome', 'niteroi', 'porto alegre', 'brooklyn', ' ny']","[' brazil', ' argentina', ' france', ' canada', ' portugal', ' italy', ' usa']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,"Um jeito de continuar a urbe... Um belo jeito de seguir quando est frio do lado de fora (principalmente na neve). Boas lojas, bons restaurantes, bom paisagismo... Bem Montral..."
MI_TravelFreq,SE Michigan,SE Michigan,Male ,,"['chicago', ' il', 'monterey', ' ca', 'montreal', ' quebec', 'toronto', ' ontario', 'clearwater', ' fl', 'houston', ' tx', 'orlando', ' fl', 'fredericksburg', ' tx', 'galveston', ' tx', 'minneapolis', ' mn', 'mississauga', ' ontario', 'ann arbor', ' mi']","[' usa', ' canada']",[],"Marche Jean-Talon, Montreal",,,5 of 5 stars,"
From the endless abundance of fresh fruits and vegetables that are among the tastiest you will find anywhere to the extraordinary food stands and purveyors of meats, charcuterie and dairy products, this is a market that should simply not be missed. It is one of the very best things about Montreal.
"
Amber0521,Norwalk,Connecticut, Female ,,"['montreal', ' quebec', 'playa del carmen', 'north myrtle beach', ' sc', 'playa mujeres', 'norwalk', ' ct']","[' canada', ' mexico', ' usa']",[],"Marche Jean-Talon, Montreal",,,5 of 5 stars,"
First time visit to the March Jean-Talon. Easy metro ride from our hotel. Bring a tote bag - you will need it. So many cool vendors, meats, bread, cheeses, flowers, fruits & vegetables. Stopped and had a Crepe with chocolate & bananas... this place is a must see....
"
RanahWilliams,Brooklyn,New York, female , 25-34 ,"['montreal', ' quebec', 'scottsdale', ' az', 'cruz bay', 'washington dc', ' dc', 'aruba', 'atlanta', ' ga', 'boston', ' ma', 'cancun', 'catalina island', ' ca', 'chichen itza', 'fort lauderdale', ' fl', 'grand cayman']","[' canada', ' usa', ' u.s. virgin islands', ' caribbean', ' mexico', ' cayman islands']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"
I actually patronized these stores several times during my trip. Nice underground stores. And the sales people were very polite and always smiling.
"
Cac1234,Germantown,New York, female , 50-64 ,"['montreal', ' quebec', 'barcelona', 'state college', ' pa', 'boston', ' ma', 'edinburgh', 'orlando', ' fl', 'myrtle beach', ' sc', 'new orleans', ' la', 'ogunquit', ' me', 'honolulu', ' hi', 'selcuk', 'florence']","[' canada', ' spain', ' usa', ' uk', ' turkey', ' italy']",[u'I love to travel and share my experiences with my third grade students because our social studies curriculum covers world cultures. '],"Complexe Desjardins, Montreal"," Shopping centres
",,5 of 5 stars,"
This is an amazing underground network of shops and eateries. The passages take you from one store and restaurant area to the other, to some hotels and the Metro. It is terrific if it is inclement weather or just too hot to walk outside. There are many very nice shops and stores or places to grab a bite to eat.
"
Paco420Mtl,Montreal,Montreal, male , 25-34 ,"['montreal', ' quebec', 'cancun']","[' canada', ' mexico']",[],"Centre de Sante Renaissance, Montreal"," Spas
",,5 of 5 stars,"Bought a coupon from groupon, me and my wife tried it out. I really enjoyed my massage with Maria. She gave a really well balanced massage, she didn't only focus on one area and switched back and forth from upper to lower body, soft to hard and knew when to release and give pressure at the right time. My neck jaw and face felt very relaxed afterwards. And feel good today. I definitely will go back, I recommend her, ask for Maria. :)"
NP2013,Laval,Canada, female , 35-49 ,"['montreal', ' quebec']",[' canada'],[],"Centre de Sante Renaissance, Montreal"," Spas
",,4 of 5 stars,I arrived late the receptionist was busy but she stop everything and provided me full attention. I was afraid that being late in general they reduce the time for massage however I received full one hour of massage and in addition received excellent exercises recommendation how to improve my back. I received such a great warming and care so I tried Docteur Fish I was able to relax what was missing is the music that I like very much.
boynights,Montreal,Canada, Female ,,"['paris', 'moscow', 'barcelona', 'st. petersburg', 'montreal', ' quebec', 'niagara falls', ' ontario', 'nice', 'peterhof', 'aix-en-provence', 'antalya', 'avignon', 'doha']","[' france', ' russia', ' spain', ' canada', ' turkey', ' qatar']",[],"Centre de Sante Renaissance, Montreal"," Spas
",,4 of 5 stars,I bought via GroupOn the comments I read were not so great but I wanted to try Doctor Fish it was close to my home. I decided to take a risk. It was Saturday the welcoming was warming. I was reading Cosmopolitain while fish were playing with my feet. After I completed health form and massage therapist came to see me it was medium massage he asked me before what I like. So can't complain. Music get be better but the rest was the way I hoped. would be back worth the price with insurance for 39$.
laghrous,alger,alger, male , 50-64 ,"['algiers', 'marrakech', 'st. petersburg', 'casablanca', 'essaouira', 'rome', 'montreal', ' quebec', 'naples', 'luxor', 'istanbul', 'niagara falls', ' ontario', 'ghardaia']","[' algeria', ' morocco', ' russia', ' italy', ' canada', ' egypt', ' turkey']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,
Kutchum,Strasbourg,France, male , 65+ ,"['new york city', ' ny', 'montreal', ' quebec', 'new orleans', ' la', 'strasbourg']","[' usa', ' canada', ' france']",[],"Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"Dans le Complexe Desjardins il y a un endroit convivial qui pourrait servir d'exemple ailleurs. Vous trouvez toutes sortes de stands qui font a manger genre, self service mais avec une nourriture trs diversifie, et tout le monde se retrouve au centre avec des tables des chaises pour prendre son repas."
FredBee,Levis,Canada, male , 25-34 ,"['levis', ' quebec', 'la malbaie', ' quebec', 'quebec city', ' quebec', 'saint hippolyte', ' quebec', 'cayo ensenachos', 'coombs', ' british columbia', 'port-au-persil', ' quebec', 'boston', ' ma', 'montreal', ' quebec', 'armagh', ' quebec', 'sainte-flavie', ' quebec', 'vancouver', ' british columbia']","[' canada', ' cuba', ' usa']","[u""I'm a father of 3 girls and a little boy.\nI love to travel and take photography.\nYou can check my work here:\nhttp://fredericbaillargeon.smugmug.com/\nor\nhttp://500px.com/FredericBaillargeon ""]","Complexe Desjardins, Montreal"," Shopping centres
",,4 of 5 stars,"Nous sommes alls en voyage  Montral avec les enfants et ce qu'ils ont probablement le plus aims ce fut la fontaine du complexe Desjardins. Notre htel tait attenante au complexe et  chaque fois que nous passions prs de la fontaine, les enfants taient fascins par celle-ci pendant trs longtemps."
Krasotka88,Ottawa,Canada,,,"['montreal', ' quebec']",[' canada'],[],"Centre de Sante Renaissance, Montreal"," Spas
",,5 of 5 stars,"
I have visited Centre de Sante Renaissance several times already. I always come back for the great massage experience and great new services such as Docteur Fish. Last time I came for this one and had absolutely relaxing and pleasant exprience! Much recommended!
"
explicit_p,Montreal,Canada, male , 25-34 ,"['montreal', ' quebec', 'vaudreuil-dorion', ' quebec', 'boucherville', ' quebec', 'dollard-des-ormeaux', ' quebec', 'orient bay', 'dorval', ' quebec', 'brossard', ' quebec', 'kiev', 'laval', ' quebec', 'quebec city', ' quebec', 'sainte agathe des monts', ' quebec']","[' canada', ' st maarten-st martin', ' ukraine']",[u'I am a dedicated Spa lover! Love the sushi and 4-stars and more hotels. '],"Centre de Sante Renaissance, Montreal"," Spas
",,5 of 5 stars,"
I bought a promotion (massage along with the ionic treatment) in September and was very surprised with the professionalism of a massage therapist and in general with the atmosphere at a salon.
Great place!
"
Vito1978,Montreal,Canada, male , 25-34 ,"['montreal', ' quebec', 'amsterdam', 'anapa', 'bristol', 'dnipropetrovsk', 'donetsk', 'frankfurt', 'kiev', 'luhansk', 'lviv', 'moscow', 'munich']","[' canada', ' the netherlands', ' russia', ' uk', ' ukraine', ' germany']",[],"Centre de Sante Renaissance, Montreal"," Spas
",,4 of 5 stars,"I bought this deal from Mtl a Rabais, there is a no free parking but it is much cheaper than downtown. I arrived late and I wasn't expexcting to get full 60 minute massage however the receptionist was so nice she did accomodated me. The massage was very strong that what I like I tried other Spas where they just touch your skin and don't do any massage.
The design is not modern but it is clean and unique. I would recommend this place for people who has back problems since they provide good advice and suggestions what exercises to do to avoid back problems."
CCC_M0ntreal_,Montreal,Canada,,,"['montreal', ' quebec', 'abomey', 'aguas calientes', 'arequipa', 'bangkok', 'barcelona', 'battambang', 'beaupre', ' quebec', 'begur', 'ben tre', 'bondowoso', 'boucherville', ' quebec']","[' canada', ' benin', ' peru', ' thailand', ' spain', ' cambodia', ' vietnam', ' indonesia']",[],"Centre de Sante Renaissance, Montreal"," Spas
",,1 of 5 stars,"I bought a Dealfind gift card to Centre de Sante Renaissance. The advertised service was supposed to be ""a 60 Minute Swedish Massage Performed by a Registered Massage Therapist With Insurance Receipt, a Back Exfoliation and an Ionic Spa"". They first took me to the ionic spa. Believe me, this is a scam. They put your feet inside a small bath of salted water and add an electrode that is supposed to ""bring all the bad toxins out of your body"". What it does is actually electrolyze the water. This corrodes the iron electrodes in the foot bath. Rust is what turns the water yellow then brown, nothing else. The massage was very different from what was advertised. I had many swedish massages in my life and this was nothing like it. The massage therapist didn't speak a word of french or english so she couldn't understand what I actually wanted. What she did was rubbing my skin really fast, and massaging it in small and agressive strokes. My skin was very warm at the end and my muscles still tense. Finally, the receptionist had to remind the ""therapist"" that there was an exfoliation included in the package. She scrubbed my already very sore back in less that 30 seconds and let me wash myself afterwards with a hand towel. She looked as if she was in a hurry and was sighing every 2 minutes. Very unpleasant and not relaxing at all. I was not worth the 29$ I spent on this at all."
Elsatia,Montreal,Canada,,,"['esquimalt', ' british columbia', 'montreal', ' quebec', 'victoria', ' british columbia']",[' canada'],[],"Centre de Sante Renaissance, Montreal"," Spas
",,2 of 5 stars,"I bought a groupon for a colon hydrotherapy. When I first called to set up the appointment the woman seemed pleasant enough however, when I showed up there was no record in their record book. Furthermore, she made me go next door and print out the coupon, even though I showed it to her over my blackberry. She was rude and not helpful. In the end, they made me reschedule. When I finally had my appointment, I discovered the doctor spoke almost no English or French. I had never had this procedure done and had many questions. Asking the doctor questions pertaining to the treatment, affects etc, he just grunted, mumbled and then ran off the same benefits he had stated in the beginning. It was extremely frustrating and overall an unpleasant experience. I would not recommend and even though I bought three sessions, I don't plan on using them. Going here is less enjoyable than having a root canal."
Katrin_01,Montreal,Canada,,,"['new york city', ' ny', 'las vegas', ' nv', 'montreal', ' quebec', 'alushta', 'atlantic city', ' nj', 'bayahibe', 'bologna', 'brooklyn', ' ny', 'caesarea', 'cancun', 'chichen itza', 'eilat']","[' usa', ' canada', ' ukraine', ' dominican republic', ' italy', ' israel', ' mexico']",[],"Centre de Sante Renaissance, Montreal"," Spas
",,4 of 5 stars,"That was my first time there, and I was very impressed with Doctor's Fish, I've never experienced anything like that. The receptionist was very welcoming, even though she didn't speak very well French. Lightening was not so great, but after I've had a very strong massage, it made me forget about all the small troubles. I got that deal from Montreal a Rabais and I was satisfied."
Beenmostplaces,Montreal,Canada, female , 50-64 ,"['sutton', ' quebec', 'montreal', ' quebec', 'istanbul', 'bogota', 'sanliurfa', 'antakya', 'diyarbakir', 'quebec city', ' quebec', 'tulum', 'divrigi', 'enosburg falls', ' vt']","[' canada', 'quebec', ' turkey', ' colombia', ' mexico', ' usa']",[],"Amerispa, Montreal",,,4 of 5 stars,"I went with a girlfriend on a hot sunny September afternoon. Maybe because it was midweek we were virtually the only people there. The showers and changing room were very clean. We bypassed the sauna and steam room and headed out to the jacuzzis which were large and a nice temperature. Access to the spa also gives you access to the hotel jacuzzis and swimming pool which was lovely with plenty of sun beds and a great view of the mountains. A very nice place to spend a day. There was also a nice looking lounge so even if it was raining you could read and relax. They told us that in the winter the terrace is heated to keep it clear from snow - I would happily go back.
Tip - there is a cheaper evening rate but check out when they close
Tip - it gets very busy at weekends and I could imagine it being a bit claustrophobic so pick your day and time with care"
OutWanderin,New York City,New York City, female , 50-64 ,"['las vegas', ' nv', 'new york city', ' ny', 'quebec city', ' quebec', 'saratoga springs', ' ny', 'boston', ' ma', 'washington dc', ' dc', 'chicago', ' il', 'wabash', ' in', 'budapest', 'cambridge', ' ma', 'fort wayne', ' in', 'paris']","[' usa', ' canada', ' hungary', ' france']",[],"Amerispa, Montreal",,,3 of 5 stars,"The hard-to-find Amerispa was empty on a January afternoon. I booked a water-flower scrub treatment over the phone earlier in the day. The receptionist seemed a bit bothered by my arrival; she was chatting with another employee. After a few minutes, I was led to the locker room. There were a few nice touches, but it looked more like a fitness club locker room.

My treatment was done in a wet-room that had as much ambiance as a shower and a few candles could muster. The practitioner scrubbed the bamboo/lotus/water lily stuff onto my skin using very little oil. It was quite abrasive--in all the wrong places. My upper back was raw and painful for days afterward. She had an very 'perfunctory' approach and seemed interested in finishing and ended my 50 minute treatment almost 10 minutes early. That probably saved some of my skin! She walked very quickly when she led me to the lounge and the roughly tucked a blanked over my robe. I felt more roughed-up than relaxed.

On my way out, the practitioner was seated at the front desk. She told me to book a massage the next time rather than a treatment. Maybe they were just having a slow, winter, Montreal day. But I'd skip this place for a spa that trains its staff in customer service."
AgatheUnivers,Montreal,Canada,,,"['quebec city', ' quebec', 'montreal', ' quebec', 'laval', ' quebec']",[' canada'],[],"Amerispa, Montreal",,,5 of 5 stars,"Nous avons t reues comme des reines, avons eu des soins de qualit et une dtente totale. je vous les recommande sans aucune hsitation."
